Package,Version,Depends,SourceURL,MD5,SHA256
DBI,1.3.0,,https://cran.r-project.org/src/contrib/DBI_1.3.0.tar.gz,ce5e3153cc7395a2aac452db1099d003,13def8e90cbe41205a0dfcf585a6a7ea79ce10d45969789e82613c7ce3d5fb18
KernSmooth,2.23-26,,https://cran.r-project.org/src/contrib/Archive/KernSmooth/KernSmooth_2.23-26.tar.gz,6bc46cc96d87d37de73050f49b2b1bc2,b465bdac197f7faa787e625412ae03d1b7c2c134b1c924cfeb775faf9c4da73e
MASS,7.3-65,,https://cran.r-project.org/src/contrib/Archive/MASS/MASS_7.3-65.tar.gz,b14ea190f5fe69f2d1d2245f18e76b97,b07ef1e3c364ce56269b4a8a7759cc9f87c876554f91293437bb578cfe38172f
Rcpp,1.1.1-1.1,,https://cran.r-project.org/src/contrib/Archive/Rcpp/Rcpp_1.1.1-1.1.tar.gz,ad526121c2f2b9b3be8ce1f36aff7888,32e5d5fee4080c8ca315f31b74c3eaa6367a1900e92e860e00390c9565f5fbe1
class,7.3-23,MASS,https://cran.r-project.org/src/contrib/Archive/class/class_7.3-23.tar.gz,08a4111b20055914fbd4d756d0041a0d,4d1adb12eae045f15641516d795177dd1d3074c0a86ac633000507c4822891f1
classInt,0.4-11,e1071;class;KernSmooth,https://cran.r-project.org/src/contrib/classInt_0.4-11.tar.gz,ef2a4750f70e32d9d8838a00f144df2e,8d366844cf7f951cc5b65423c3ccf50ebc3c11cf9d1fc90f8208e7d869c5d0a6
digest,0.6.39,,https://cran.r-project.org/src/contrib/digest_0.6.39.tar.gz,2b7268922b0f86dbc8064ff8e3a1ca1b,8bf048b49b2d17077138fae758bda56bbd53278d9437f2fdeaedf979c90a13c9
e1071,1.7-17,class;proxy,https://cran.r-project.org/src/contrib/e1071_1.7-17.tar.gz,7e8d521ac6b3a92c7e1888dbb8e59c47,6debc371ad478c2aa6de1f6510e254e80e797de4974b855f63b35509a3c2ac87
exactextractr,0.10.1,Rcpp;raster;sf,https://cran.r-project.org/src/contrib/exactextractr_0.10.1.tar.gz,72464b4133d6ccee0c5a6c4c27febfaa,451f91f4e487c180bfa7ca38c8da129c086057b1761277ba03c090f70745a5ce
jsonlite,2.0.0,,https://cran.r-project.org/src/contrib/jsonlite_2.0.0.tar.gz,3e54e6fbc0c9063936e3d01e91419c14,75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d
lattice,0.22-9,,https://cran.r-project.org/src/contrib/Archive/lattice/lattice_0.22-9.tar.gz,8fda6c7974b190459ad080e467e670c6,b72ad4ed2e5269fa7cf668e46f83a9b5d9d5f8fdcbc5b9886531ca19dffca4ba
proxy,0.4-29,,https://cran.r-project.org/src/contrib/proxy_0.4-29.tar.gz,1180e4455fdadb2267aa62512a06b079,c6eb0e36ef2eecb1b8564f0188ca8d2c91a80865c86698386a7b5d5baa92c35b
raster,3.6-32,sp;Rcpp;terra,https://cran.r-project.org/src/contrib/raster_3.6-32.tar.gz,83f16331a25805fdcccabee2b97f4bca,300aaaee8c9f31ab2edaed8d560dd993e2c691876d086097bb5b6a49700d0692
s2,1.1.9,Rcpp;wk,https://cran.r-project.org/src/contrib/Archive/s2/s2_1.1.9.tar.gz,53662e8e56dcf5acd0e932e8bad562e3,4dcd2bff738be5a89b925fed29acb6e224e0f514b4530dc9987a0a72c5a99b55
sf,1.1-1,classInt;DBI;s2;units;Rcpp,https://cran.r-project.org/src/contrib/Archive/sf/sf_1.1-1.tar.gz,f944eda85dd69110b8957fa2c0b645fc,6cdb39c079f0609464ae2d189725928cb767cce76ba69692a6affada1c0dca90
sp,2.2-1,lattice,https://cran.r-project.org/src/contrib/Archive/sp/sp_2.2-1.tar.gz,51a4a22e95cec0c45e1cafaf4ad19808,277a4533bc784a08fdbb710757b6af0c7a492691bfb07d8f0b2aa8ad7c857652
terra,1.9-27,Rcpp,https://cran.r-project.org/src/contrib/Archive/terra/terra_1.9-27.tar.gz,2a1aa70d679256f92161c1a4430c6ed8,cad2988ec6db2c62fa06f0ebe60d67c580156cb2001195f8d4233e694cfd761a
units,1.0-1,Rcpp,https://cran.r-project.org/src/contrib/units_1.0-1.tar.gz,6aeee90a7f0b2f63a37f69407bbcca63,09ec534a9d4ab7f171809cad1788074452f9b30620d5f54d959d799f5952fbf3
wk,0.9.5,,https://cran.r-project.org/src/contrib/wk_0.9.5.tar.gz,2f70ad0274a5d83a8a9de1dfe85da0ea,b720282890f8d322ff8217bd857bab8f5549343ea2a635a3c2ada63ce1206aed
